company,attendee_name,attendee_title
Suki,Mike Maus,Chief Revenue Officer
Northwestern Memorial HealthCare,Dean Harrison,President and CEO (Retired)
K Health,Ethan Fischer,Director of Corporate Development
"Workday, Inc.",Scott Endo,Solution Consultant
CS Connect,Amanda Kule,Director of Communications
Microsoft,Tom Lawry,Managing Director
Pear Suite,Alicia Crooks,Community Program Manager
"Workday, Inc.",Sarah Hickman Auger,"Industry Director, Healthcare Solution Marketing"
QualiZeal,Ramanathan Ponnusamy,SVP Client Success
SeedtoB,Ritesh Sharma,Managing Partner
Aidoc,Andrew Colbert,"VP, Product Marketing"
EY-Parthenon,Anirudh Goel,Partner
"Imprivata, Inc.",Aaron Freimark,"Sr. Vice President, Product Management"
Salesforce,Vaughn Schouten,"Global Lead, MedTech Advisory & Innovation"
Exo,Sandeep Akkaraju,CEO and Co-Founder
AT&T Business,Rachel Brown,Director
"Imprivata, Inc.",Claire Reilly,VP Clinical Operations & Chief Nursing Informatics Officer
"Imprivata, Inc.",John Clark,"Sr. VP, Product Management"
Healthcare IT Leaders,Russ Rudish,Principal
Brightside Health,Mimi Winsberg,Chief Medical Officer
"Imprivata, Inc.",Matt Erich,"Sr. VP, Solutions Engineering"
Questex,Elyse Nixon-Taft,Account Executive
"Imprivata, Inc.",Fran Rosh,President & CEO
"Imprivata, Inc.",Joel Burleson-Davis,"Senior VP Engineering, Cyber"
Breakthrough 6,Robert Jordshaugen,Founder and CEO
Prism Labs Inc.,Andrew Mains,VP of Business Development
Dyad AI,Alexander Tayler,CCO
IonCell,Marieme Sane,CEO - Co-Founder
Luvvi,Tiago Hermans,Co-founder and CTO
"Imprivata, Inc.",Karen Devine,Chief Customer Officer
Wellkasa,Sumit Mehrotra,Founder
UNKNOWN,Matthew McGinty,CEO
UNKNOWN,Kenneth Faltischek,Founder
UNKNOWN,Perfecto Sanchez,Chief Growth Officer
Prelay,Will Andrus,Head of Sales
Prelay,Gabriella DeFlorio,CEO and Founder
Karambit.AI,Andrew Hendela,Co-founder
ReflexAI,Samuel Dorison,CEO & Cofounder
Syntrillo,Brett Mankey,Executive Chairman
"Imprivata, Inc.",Travis Grandpre,Chief Marketing Officer
R1 RCM,Greg Burchfield,"VP, Strategic Partnerships"
Advancing Healthcare Innovation Consortium,Michael Stamatinos,Managing Partner
MCG Health,Natalie McGarry,Senior Product Owner - DaVinci
Spectrum Enterprise,Geno Maestas,"Dir, Sales Vertical Accts"
Cencora,Jeff Buck,"VP, Strategic Partnerships"
Infor,Dan Dillingham,Sr. Account Manager - Healthcare Interoperability
Ernst & Young (EY),Colleen Thomas,Client Executive
DeepScribe,Marci Montoya,Enterprise Account Executive
VYNYL,Nathan Chandler,Partner and CTO
KPMG,Tim Williams,Principal
Ancestry,Mike Payne,President
Lyric,Christine Belanger,"VP, Product"
NCQA,Vik Wadhwani,Chief Transformation Officer
PwC,Teressa Pledger,Partner
ACE Home Health and Hospice Inc.,Joy Pardillo,Director Of Innovations
UW Health,Cherodeep Goswami,Chief Information Officer
Velatura,Van Ly,Sr. Consultant
GroundGame Health,Syam Adusumilli,Chief Strategy Office
Oxeon,Julia Knorr,Director
Talkspace,Heather Alder,"Sr. Director, Strategic Accounts"
Galileo,Alex Blum,Chief Partnership Officer
broadcom,Josh Tacey,Staff Consulting Architect
UNKNOWN,Ross Caplet,"VP, Account Management"
Medbridge Inc,Leah Shlyakhov,Chief Client Partner
Medbridge Inc,Donovan Campbell,CEO
Medbridge Inc,Mitch Comstock,Sr. Product Marketing Manager
The Reverse Mullet Healthcare Podcast,Ellen Brown,Co-Host
Attane Health,Misty Snodgrass,"SVP, Growth and Healthcare Strategy"
Compucom,Greg Druffel,Managing Solution Architect
AT&T Business,Joe Drygas,VP - Healthcare
AT&T Business,Rose Panaia,Director
AT&T Business,Tad Reynes,Director
Epic,Seth Hain,"VP, R&D"
University of Kansas Medical Center,Greg Ator,Chief Medical Informatics Officer
UT Health San Antonio,Edward Sankary,Chief Health Information and Value Officier
SPE,Ava Aguado,Director of Medical Ops
Abridge,Ben Le Roux,Director of Marketing
PwC,Angela Herrera,Alliances Marketing Manager
Providence,Adrian Yanes,CTO - Virtual Care & Digital Health
Kaiser Permanente,Ling Kung Joe,"Sr. Director, Care Delivery Technology"
Innovaccer,Tim Wager,Senior Manager
Intus Care,Evan Jackson,Cofounder
Innovaccer,Abhinav Shashank,Chief Executive Officer and Co-Founder
Pfizer,Ty Bretthorst,VP - Global Development Center
Huntzinger Management Group,Gerry Maroney,Managing Director
Exo,Foster Bond,Enterprise Account Leader
CCD Health,Lilliam Mccann,Sr. VP of Ops and IT
CCD Health,Will Scott,VP of BD
Exo,Jonathon Bowman,Clinical Manager
Summus Global,Denny Purcell,Chief Operating Officer
Comcast Business,Nicholas Lundquist,"Director, Enterprise Direct Sales"
Comcast Business,Emma Powers,"Executive Director, Enterprise Marketing"
RYTE.ai,Aileen Cahill,Chief Marketing Officer
UNKNOWN,Briana Trulear,Senior Account Manager
Fijoya,Sagi Polani,Co-Founder & CPO
Nemours Children's Health,Sonia Giribaldi-Kerr,"Sr. Director, Ancillary Applications"
EY,Julian Gollner,Partner
Comcast Business,Kristin Yudichak,Marketing Manager
Compucom,Kristi Cardenas,Account Executive
Community Health Systems,Paul Novak,CIO
Comcast Business,Timothy MacDonald,"Director, Enterprise Sales - Managed Solutions"
Metriport,Dima Goncharov,Co-founder and CEO
U.S. Department of Health and Human Services,La Monte Yarborough,"Deputy Chief Information Officer, Chief Information Officer"
HHS Cybersecurity Operations,Nick Rodriguez,HHS 405(d) Program Manager
MDClone,Matthew Osucha,VP Sales
Lyric,Deirdre McLees,VP Account Management
Somatus,Emily Rester,VP Provider Network and Business Development
AHEAD,James Jordan,Customer Partner
GE Healthcare,Scott Supelak,Channel Sales Manager
FIS,Barrett Chamberlain,Director of Sales
Candid Health,Matt Parrack,Sales Director
"Chetu, Inc.",Alexander Ewingshaw,Partnerships Manager
"Chetu, Inc.",Howard Mintz,Partner Relationship Executive
Deloitte,Bill Fera,Principal
VieMed Healthcare,Rob Birkhead,Chief Innovation Officer
UKG,Aisha Stephens,Strategic Alliance Manager
Compucom,Nancy Outcalt,Account Executive
QuitSure,Kriti Bajaj,Co-Founder
AHEAD,Andy Sajous,Field CTO
UNKNOWN,Sara Sundar,Chief Information Officer
COPE Health Solutions,Alice Cheng,"Manager, Branding & Events"
"Medcurity, Inc.",Arielle Van Peursem,Director of Business Development
"Medcurity, Inc.",Joe Gellatly,Founder/CEO
Candid Health,Patrick Green,Head of Sales
Cardinal Health,Amy Weber,CTO/VP Commercial Technologies
Ernst & Young (EY),Kaushik Bhaumik,Americas Health Technology Leader
Healthcare IT Leaders,Steve Cardenas,"Practice Lead, Federal Healthcare"
Rune Labs,Brian Pepin,CEO
Define Ventures,Garrett Howard,Investor
HHS,Margaret Lacson-Ecarma,Chief
Waianae Comprehensive Health Center,Michele Chrissy Kuahine,Director of Clinical and Patient Informatics
Strike Graph,Mike Hayes,CRO
Smart Communications,Alan Acheff,Senior Solutions Architect
F-Prime Capital Partners,Carl Byers,Partner
Memora Health,Tom Sims,"Senior Director, Provider Partnerships"
Hello Heart,Assaf Ohana,Chief Product Officer
Hello Heart,Kelly Schorr,Business Development Representative
AdventHealth,David Oakley,"VP, Digital"
Merck,Pamela Abaza,"Director, IT Health Equity"
LexisNexis Risk,Rebecca Webb,Director of Market Planning
98point6,Rich Hooper,Director of Sales and Business Development
Previon,Kyle Mitchell,Sr Director of Commercial Programs
Light-it,Javier Lempert,CTO
Cantor Fitzgerald,John Kibler,Managing Director
Cantor Fitzgerald,Dmitry Krasnik,Managing Director
Beacon Health System Inc,Mark Warlick,Chief Information Officer
AGFA HealthCare,Jim Mullen,"Sr, Vice President"
BluIP,Kenneth Ohlson,Enterprise Sales
Capstone,Arjan Peters,Client Relationship Manager
Veradigm,Teig Boyle,"AVP, Sales"
Drummond Group LLC,Adam Gregg,"Sales Director, Health Care"
Gartner Inc,Nasime Braham,Senior Account Manager- Healthcare Partnerships
Drummond Group LLC,Greg Romania,"Sr. Consultant, Advisory Services"
Drummond Group LLC,Ryan Patano,President & CEO
Drummond Group LLC,James Threatte,"Director, ONC-ATL Test Lab"
Drummond Group LLC,Lucy Railton,VP of Marketing
Avlis International,Sue Silva,CEO
Drummond Group LLC,Bob Bryan,Director
Vispero,Don Soucy,Chief Growth Officer
Altera Digital Health,Cristina Ortenzi,Vice President of Client Success
C4 Trends,Susan Schreiner,Editor/Analyst
BCBSLA,Arjun Iyengar,"Director, Digital Product Engineering"
Apax Partners,Patrick Kane,Principal
Zebra Technologies,Jennafer Martin,Channel Marketing
Smart Communications,Margie Bowman,Senior Solutions Architect
Smart Communications,Rugiatu Kaloko,Business Development Representative
Nordic,Enrique Estrada,Solution Executive
Syncari,Jack Smith,Principal Sales Engineer
J.B. Strategic Communications,JULIA BENNETT,Strategist + Executive Coach
Lyric,John Monaco,Sales Executive
SOPHiA GENETICS,Alexandra Buga,Sr. Manager BD
Quadient,Cyndi Evans,Senior Client Executive
PricewaterhouseCoopers,Mike Paul,Partner
MEDnRX,Steven Goldberg,Chief Medical Officer
Quantori,Shawna Mishael,"Global Head, Healthcare"
MiSalud Health,Cindy Blanco,CEO
Health In Her HUE,Ashlee Wisdom,Founder & CEO
StartUp Health,Unity Stoakes,President & Co-founder
Vizient,Bharat Sundaram,"President, Data and Digital"
Avanade/Accenture,Christiana Voelker,Healthcare Industry Lead
Avanade,Jenee Bader,Health Industry Sales Leader
Crown Castle,Ed Finn,HC BDM
ST Engineering,Julia Taylor,VP
Qubika,Maria Jose Saldivia,MS
"etectRx, Inc.",Scott Ballenger,VP
Gibson Area Hospital,Bryan Kirby,VP
Rackspace Technology,JOSH PREWITT,VP
Children's National Hospital,Nathan Lesser,Mr
J.P. Morgan,Andrew Geraghty,VP
Panda Health,Jordan Garrett,VP
"DuploCloud, Inc.",Whitney Hornung,AE
MBK Healthcare Management,Guannan Miao,VP
CereCore,Phil Sobol,VP
Ochsner Health,Amy Trainor,VP
Tampa General Hospital Innoventures,Rachel Feinman,VP
e4,Bill Rowe,VP
Cynerio,Bob Freiberger,Vp
Physician EHR Solutions,Julie Ann Harrigan,MD
VCUHS,Claudia spurill,RN
UST,Modak Raj,VP
Informa Markets,Elli Riley,VP
Lunit Inc,Terri Kim,VP
"Isabel Healthcare, Inc",Pat Garrett,VP
DEBRA MCCROSKEY,DEBRA MCCROSKEY,MD
PointClickCare,Tristan Van Horne,VP
Able Care,Paul Rinne,Dr
HTC Global Services,Mohit Agarwal,VP
Untethered Health Ventures,Greg Horner,GP
"Valtruis, a WCAS Company",Ben Belford,VP
Palo Alto Networks,Kieran Grogan,AE
Texas Oncology,Manish Gupta,MD
LeedsTeaching Hospitals - NHS Trust,Sarah Hanbridge,Ms
UNKNOWN,Mike Donnelly,VP
Oxeon Partners,Spencer Carrucciu,VP
The Convergence Group LLC,Kat Karimi,N/A
Equity Quotient,Christina Van Houten,N/A
Soap Health,Chris Lillis,N/A
Dayvue,Trevor Wilkins,N/A
Onpoint Health Data,Frank Corcino,N/A
DripIV Therapy,Johnny Lam,N/A
Department of Health and Human Services,Laura Urioste,N/A
Springboard,Rachel Rong,N/A
BD,Ruhy Patel,N/A
AltaMed,Jospeh Gomez,N/A
Brook Inc,Luke O'Brien,N/A
Maro,Kenzie Butera,N/A
Wellthy,Becca Atkins,N/A
Baker Tilly,Nick Nelson,N/A
Salesforce,Kelsey Cahill,N/A
Xealth,Briana Williams,N/A
Accenture,Vinay Sharma,N/A
ANCILE,Andrea Rolland,N/A
Deloitte,Haley Viall,N/A
First Health Advisory,Jessica Davis,N/A
"Intely, Inc",James Lust,N/A
Intraprise Health LLC,Danielle Coleman,N/A
Nuance,Heather Deal,N/A
Clarity Quest,Colleen Keenan,N/A
Wipfli LLP,Christina Swonger,N/A
Halcyon,Christian Jackman,N/A
Navina,Ohad Shamian,N/A
Healthcare IT Leaders,Peter Sfraga,N/A
Tevora,Emma Carty,N/A
"Dialexa, an IBM Company",Marketing Team (Logistics),N/A
THL,Jon Lange,N/A
RhythmScience,Shawn Kumar,N/A
AI Nexus Healthcare,Charlie Farhoodi,N/A
Perry,Laura Okafor,N/A
PwC | Oracle Alliance,Randy Ulrey,N/A
Breakalgo,Alex Whitefield,N/A
PwC,Kimya Singleton,N/A
DXC Technology,Alexis Freed,N/A
True Concepts Medical,Mick Hopkins,N/A
Accenture,Isabella Spielmann,N/A
"EmTech Care Labs, Inc.",Aarabi Balasubramanian,N/A
Vida Health,Dominic Belmonte,N/A
Stel Life Inc,Chas Cota,N/A
NeuroVirt Limited,Tom Smith,N/A
Stanford University,Eugene Roh,N/A
Best Buy Health,Becca Lunt,N/A
UCLA Health,Jeanne Markland,N/A
Microsoft,Beth De Lisi-Baird,N/A
Google,Manoj Kapoor,N/A
Samsung Research America,Suh Kim,N/A
"Workday, Inc.",Lisa Trant,N/A
PwC,Brandon Fisher,N/A
Metric Insights,Zoe Hagfeldt,N/A
Metric Insights,Trisha Shah,N/A
AvaSure,Lisbeth Votruba,N/A
California Department of Human Resources (CalHR),Theresa Nevarez,N/A
UCSF,Leslie Avilez,N/A
Mahmee,Amanda Williams,N/A
Community Clinic Association of LA County,Louise McCarthy,N/A
UCLA,Robert Lucero,N/A
VerifiNow Inc,Nidhi Velusamy,N/A
Cerebrate,Jim Kodjababian,N/A
"CenTrak, Inc.",Rachel Zatcoff,N/A
Aloka Health,Curtis Peterson,N/A
Medacta USA,Genevieve Moreno,N/A
Independent Marketing Leader,Audrey Veitas,N/A
"medSR, Inc.",Linda Hainlen,N/A
symplr,Ann Joyal,N/A
Strike Graph,Justin Dada,N/A
Roivant Health,Betty Chang,N/A
UCLA Anderson,Ivan Krstic,N/A
N/A,John Hogan,N/A
N/A,Nikki Unknown,N/A
Blum Health Ltd,Michael Watts,CEO
Rendever,Kyle Rand,CEO
Needham & Company,Ryan MacDonald,Analyst
Ceresti Health,Dirk Soenksen,CEO
Tampa General Hospital,Anthony Zlaket,VC Manager
CWH Advisors,David Bjork,CEO
Verizon Enterprise Solutions,Kevin Donahue,Dist Archt-Solutions Archt
E Ink Corporation,Jamie Laughlin,Sr. Sales Manager
FallCall Solutions,"Shea Gregg, MD",President/Founder
7wireVentures,Robert Garber,Partner
RingCentral,David Chao,Healthcare Executive
PLUG and PLAY,Julianne Roseman,Principal
Lisa Leonard Voiceworks,Lisa Leonard,Voice Actor/Medical Narrator
Deloitte,simon gisby,Partner
2Morrow,Jo Masterson,CEO
PEP Health,Mark Lomax,CEO
HLTH,Jody Tropeano,Head of Content
Takeda Digital Ventures,Bruce Meadows,Managing Partner
Medable,Michelle Longmire,CEO & Co founder
Samsung NEXT,Jonathan Machado,Managing Director
RingCentral,John Poli,Industry Principal - Healthcare
Aboard,Lee MacDonald,CEO
First Line Software,Anatoly Postilnik,Managing Director
Healthvana,Ramin Bastani,CEO
Tiger Analytics,Sam Ramachandran,Chief Sales Officer
CISA,Claudia Revelo,Marketing
The SSA Group,Nancy M Green,Senior Vice President
Humetrix,Bettina Experton,President & CEO
InterSystems,Kathleen Aller,Head of Healthcare Market Strategy
Spectrum Enterprise,Evonda Robertson,"Sr. Manager, Tradeshows & Events"
Cedars-Sinai Medical Center,Julien Brohan,"Manager, Cedars-Sinai Technology Ventures"
Ford Hutman Media,Rachel Ford Hutman,CEO
BioTrillion,Savan Devani,Founder & CEO
Boston Children's Hospital,"John Brownstein,",SVP and Chief Innovation Officer
ECHAlliance,Bleddyn Rees,Chair
Consensus Cloud Solutions,Bevey Miner,EVP Healthcare Strategy and Policy
Soap Health,Steven Charlap,CEO
Cliniconex,Kevin Haaland,Chief Technology Officer
Sword Health,Dan Doverspike,"GM, Government Programs"
HP Inc,Nick Patel,CEO/Founder
Deloitte,Jennifer Radin,Principal
Apollo Enterprise Imaging Corp,John Ault,Regional Sales Director
Toptal,MARK KERR,Enterprise Account Executive
Socially Determined,Leah Broder,Vice President
Simplify Healthcare,Margaret Medlin,Vice President - Growth & GTM Strategies
CLEAR,Sam Adeyemi,"Senior Director, Channel Sales"
Cliniconex,Angela Hunt,Chief Revenue Officer
Datavant,Leah Sanfilippo,Life Science Partnerships
OnPoint Healthcare Partners,Frank Corcino,"Nat'l Market Leader, Financial Ops"
Kiira Health,Crystal Adesanya,CEO
Smart Communications,Randy Putnam,"Sr. Director, Strategic Partnerships"
Healthwise,Cory Petross,Director of Partner Success
Baton Rouge Area Chamber,Joshua Combs,Manager of Business Development
T-Mobile,Dago Goncalves,"Sr Manager, IoT Sales"
CLEAR,Alex Krinsky,Healthcare Business Development
CLEAR,Jaime Nardolillo,Business Development Manager
SAI Group,Mike Cashin,Head of Business Development
Rackspace Technology,Sandeep Misra,Head of Healthcare Vertical
RICOH USA,Scott Brewer,"Director, Regulatory Affairs and Quality"
Wilson Sonsini,Andrea Linna,Digital Health Attorney & Partner
CLEAR,Olivia Kim,Healthcare Business Development
MS&AD Ventures,DAIKI KOYA,Analyst
TytoCare,Joe Bernnan,Sr. Director Provider Solutions
Impilo,Hailey Minter,Marketing and Demand Generation Lead
RICOH USA,Rebecca Collins,Healthcare Product Manager
eMed,Ron Coursey,Executive Vice President
Biofourmis,Sean Smith,Senior Director Business Development
RICOH USA,Derek Mathers,"Director, Clinical Applications & Business Development"
IncludeHealth,Ryan Eder,CEO
Alvee,Nicole Cook,Founder & CEO
Elevance Health,Tracy Wang,Digital Solutions Director
StartUp Health,Jennifer Hankin,Chief of Staff
Spect,Michael Leung,Co-Founder
bitewell,Samantha Citro Alexander,CEO & Co-Founder
Summus,Amanda Walker,"Senior Vice President, Payer Solutions"
Inflect Health,Helen Abad,Venture Capital Associate
CLEAR,Ally Mueller,"Senior Partner Manager, Growth"
CLEAR,Jason Sherwin,"Sr Director, Healthcare Business Development"
CLEAR,Marcos Domiciano,"Senior Director, Healthcare Business Development"
CLEAR,Sam Spector,"Director, Healthcare Sales"
CLEAR Secure,Genevieve Burke,"Director, Healthcare Partner Enablement & Growth"
Joint Commission Resources,David Qu,Global Vice President
"MyUTI, Inc",Megan Henken,Co-Founder and CMO
Cepanoa Health,Laura Gómez,CEO and Co-Founder
Prism Labs Inc.,Paulo Melo,VP of Product
MSQ Advisory LLC,Mike Fox,Managing Partner
Infinity Care Partners,"DEAN ROTTINGHAUS, DC",Chief Clinical Officer
Lenus Health,Craig Turpie,COO
eddii,Farhaneh Ahmadi,Co-founder & CEO
Mayo Clinic,Alex Lin,Technology Development Manager
NIA,Rajesh Kumar,Program Officer
"CSD HealthIT Advisors, LLC",Capri Dye,Strategic Technology Advisor
Kismet Health Inc,Christie Sander,"Co-Founder, President & COO"
FTI Consulting,Erin Pezza,Director
Ellipsis Health,Nina Roth,"Director, Client Services"
Lena Health,Alex Harb,"Founder, CEO"
Tido Inc,Vik Patel,COO
Grapefruit Health,Eric Alvarez,Founder & CEO
Amazon Web Services,Justin Gernot,SI/ISV Success Manager
Broadcom End User Computing,Kristin Astourian,Senior Marketing Manager | End User Computing Division
WellMiss,Jennifer Johnson,Founder/CEO
Zócalo Health,Erik Cardenas,CEO
Thimble,Manju Dawkins,CEO/Co-Founder/MD
Affective Health,Elissa Ashwood,CEO
Primary.Health,Adi Chandrasekhar,Medical Director | MIT Catalyst Fellow
Decimal.health,Sarah Boone,"Associate Partner, Strategy Practice"
Canaccord Genuity,Matthew Kebel,Managing Director
AmalgamRx,Sarah Rosen,Vice President of Marketing
MultiCare Capital Partners,M. Ragan Hart,Investor
Superlanet,Adam Lyddane,Managing Partner
Rosarium Health,Cameron Carter,CEO
CueZen Inc,Jaydeo Kinikar,Head of Strategy & Growth
American Medical Association,Laura Fritsche,Project Administrator
Smart Communications,Doug Rowe,Account Director
Simpl Healthcare,Isaac Chapa,CoFounder / Chief Technology Officer
Smart Communications,John Zimmerer,"Vice President of Vertical Marketing, Healthcare"
MindCo Health,Emilio Goldenhersch,Co-Founder & CEO
Rackspace Technology,Jason Jones,Executive in Residence
VA/UC Irvine School of Medicine & Program in Public Health,Manijeh Berenji,Physician
AmalgamRx,Chris Bergstrom,President
Amalgam,Allan Bottemiller,"Senior Director, Healthcare Enterprise Solutions"
Blue Agilis,Nadia Adams,Co-Founder & CEO
Apollo Enterprise Imaging Corp,Kevin Stinson,Chief Revenue Officer
Awell Health,Jarrad Hicks,Commercial Director
OutCare Health,Christopher Roman,Executive Director
eVideon,Jason Friedman,VP Sales
Novo Holdings,Colby Ye,Vice President
Ontotext,Michael Wisniewski,Sales Executive
Beyond the Paper Gown Podcast,Mitzi Krockover,Podcast Host
Seal Shield,Scott Filion,Chief Commercial Officer
BioTraceIT Ltd.,Deborah Dullen,CEO
CHIME,Russ Branzell,President & CEO
HLTH,Rich Scarfo,President
"Scripted, Inc.",James Lott,CEO
cliexa,Mehmet Kazgan,"Founder, CEO"
CGM,Neil Simon,CTIO
Element Blue,Kristy Blasey,Senior Account Executive
RICOH USA,Erica Essig,"Senior Portfolio Manager, Healthcare"
"ZS Associates, Inc.",Shreesh Tiwari,Partner
Mercer,Elizabeth Zech,Senior Consultant
TeamBuilder,Evan Tsun,"VP, Head of Product"
Adventist Healthcare,Jennifer Stemmler,Chief Digital and Information Officer
Consensus Cloud Solutions,Russ Patten,Healthcare Sales Executive
Augmedix,Michael Leff,Head of Partnerships
MapHabit,Matt Golden,CEO
Corra Inc.,Aradhna Khivesara,EVP of Product
LONG HEALTH,Rohit Patil,Founder & CEO
Verizon,Karen Kimbro,Senior Client Partner
Lenovo,Shannon Mitchell,Healthcare Account Executive
Pear Suite,Keith Fessler,Head of Strategic Partnerships
Accenture,Kaveh Safavi,"Senior Managing Director, Global Health"
Abra,Allie Messimer,Vice President of Corporate Strategy and Development
Element Blue,Steven Gerhardt,SVP - Healthcare
Outcomes,Dan Schipfer,Senior Vice President
TeleVox inc,Megan Harrison,Senior Enterprise Sales Executive
Tiger Analytics,Gagandeep Singh,Growth Partner
Swapcard,Paul Perardel,CIM
ELLKAY,Tim Robinson,VP Hospital & Health systems
Clearstep,Kelsey Udy,Virtual Triage Product Manager
Holon Solutions,Jennifer Thorson,Marketing
Light-it,Josefina Ruiz,Head of Growth
Authenticx,Kayci Spandau,Events Marketing Manager
ScaleHealth,Johnny Lam,"Senior Vice President, Business Development"
TeleVox inc,Amber Day,Senior Strategic Account Executive
"Softek Solutions, Inc.",Ashley Mitts,Marketing Director
Suki AI,Navneet Grewal,Head of Demand Gen
Superlanet,Kiefer Cooksey,Director of Business Development
ThoroughCare,Vivek Subramany,VP of Marketing
Talkdesk,Jim Burke,"Senior Manager, Healthcare Marketing"
URAC,Laura Wood,"Director, Marketing and Communications"
Verato,Joe Hickey,"Vice President, Business Development"
Aegis Ventures,Daniel Towbin,"Director, Strategic Programs & Events"
Zscaler,Heather Peacock,Senior Healthcare Mktg Mgr
Asimily,Claire Walters,Demand Generation Manager
Axuall,Laura Hamilton,Senior Marketing Manager
Avanade,Michelle Ellington,Global Marketing and Alliances Leader
Bioscience Los Angeles,Dave Whelan,Chief Executive Officer
Axuall,Melissa Ankerman,National Sales Director
Clear Arch Health,Stephany Roca,Director of Marketing
Consensus Cloud Solutions,Alyssa Beard,Marketing Events Manager
HLTH,Bonnie Knight,Head of Client Experience
ClosedLoop,Kristen Oehlert,Trade Show Manager
DexCare,Jamie Gier,Chief Marketing Officer
Consensus Cloud Solutions,Maurya Tillman,Sales Executive
Divurgent,Brittany Williams,"Director, Marketing & Communications"
Deloitte,Sarah McDanolds,"Marketing Specialist, Health Care"
Ellipsis Health,Susan Solinsky,Co-Founder and Chief Growth Officer
First Dollar,Brett Banhazl,Sales Operations & Events Manager
Edgility,Heather Holland,Co-Founder
Ping Identity,Ashley Adams,Marketing Manager
Element Blue,Kimberly Chesser,Director - Marketing & Channel Sales
"Extreme Networks, Inc.",Ryan Hall,Marketing Manager - Major Accounts
Healthbook Plus,Christopher Turner,CEO
HITRUST Services Corp,Jessica Brown,Associate Director - Events
Health-ISAC,Kimberly Brennan,Events Coordinator
Harmony Healthcare IT,Casey Colvin,Marketing Specialist
Tungsten Automation,Judy Nugent,Sr. Field Marketing Manager
Komodo Health,Leslie Arsenault,Conference & Events Manager
Kyruus,Ashley Nyland,"Director, Growth Marketing"
Nordic,Gwen Cantarera,"Senior Manager, Client Partnerships, Operations"
MDClone,Daniel Blumenthal,VP of Strategy
Mocingbird,Katie Finneran,Marketing Manager
NeuroFlow,Will Crowley,Director of Marketing
Orion Health,Kara Hill,"Marketing Manager, North America"
Kno2,Madeline Crawford,Sr. Manager of Marketing Operations
Amtelco,JoEllen Graber,Trade Show and Events coordinator
Health Data Analytics Institute,Carola Endicott,VP Customer Engagement and Marketing
Healthlink Advisors,Charles Anastos,EVP & COO
Keysight Technologies,Amrapali Amrapali,Field Marketing Manager
98point6,Rory Burrill,"Director, Sales and Business Development"
Dell,Rich Fletcher,Senior Marketing Manager
scalehub,Jacquelyn McMullen,Global Marketing Director
POLICYMAP,Kristin Crandall,Outreach & Development
Agentifai,Rui Lopes,CEO
Impilo,David Sanchirico,BD Lead
CLEAR,Jen Villarosa,"Sr Manager, Partner Marketing"
CLEAR,David Bardan,"GM, Head of Healthcare"
Verily,Katy Robinson,Event Lead
"Yashi Care, Inc.",Dean Sawyer,CEO
Perx Health,Kelsey Kohl,VP Sales & Partnerships
TeleVox Healthcare,Steve Ganjoo,"VP, Channel Partnership"
11|TEN Innovation Partners,James Lewis,CEO
"Yashi Care, Inc.",Bonnie Feldman,Co-founder
Lynx MD,Victoria Holl,Head of Marketing
Medical Informatics Corp,Jennifer Lazarz,Events Planner & Tradeshow Manager
Caresyntax,Taiki Esheim,"VP, Commercial Excellence and Strategy"
Caresyntax,Matt Krueger,Chief Commercial Officer
Medical Informatics Corp,Mishan Pils,Business Development Director
Telegraph Hill Partners,Alex Efron,Investor
Corra Inc.,Elya Lane,Founder | Leader in Digital Health Innovations
Healthie,Erica Jain,CEO
Healthie,Rohan Siddhanti,"VP, Business Development"
AskTheHive,Alex Mohseni,"Cofounder, President"
Healthie,Nick Neral,Director of Marketplace
Molecular You,Jim Kean,CEO
Premier Pediatric Solutions,Alana Arnold,CEO & Founder
"MindStreet, Inc.",S.Brian Mukherjee,Executive Director
Hypherdata,Jana Miniarikova,CEO
Brooklyn Health,Anzar Abbas,Founder / CEO
Exin Health,Hasan Ertas,Founder & CEO
Definitive Healthcare,Hannah Mulvihill,Marketing Events Specialist
"tenXclinical, LLC",Salvatore Campo,Founder
CliniComp,Kem Graham,"Vice President, Sales"
Transformation Capital,Vinay Shah,Principal
Embold Health,Laura MacDonald,VP Business Development
Arcweb Technologies,Chris cera@arcwebtech.com,CEO
kore.ai,Nick Baker,Marketing Coordinator
Optum,Elizabeth elizabeth.aremu@optum.com,"Director, Strategy & Innovation"
Embold Health,Alice alice.williams@emboldhealth.com,"VP, Employer Sales"
Medical Informatics Corp,Emma Fauss,CEO
Memorial Care Innovation Fund,Caleb Winder,Managing Director
Previon,Tim tim.pham@previon.com,Sr. Director of Sales
Amazon Web Services,Yin He,Healthcare and Life Sciences Startups Business Development
Cloudticity,Kate Wang,Senior Director of Marketing
Science Center,Heath Naquin,Vice President
Cloudticity,Gerry Miller,Founder & CEO
Cloudticity,Josh Ray,Sr. Product Marketing Manager
Intertribal Holdings,Jay Calhoun,Co-Founder
Lucem Health,Conrad Gudmundson,"VP, Strategy"
WiL Ventures,Aki Jiang,Investor
MEDITECH,Mike Cordeiro,Senior Director Interoperability
Bellin Health,Andrea Werner,Chief Population Health Officer
AposHealth,Fred Lewis,COO
AposHealth,Seth Klein,"VP, Business Development Officer"
MEDITECH,Christine Silva,"Senior Director, Field Marketing"
Publicis,JohnMark Conklin,"Senior Manager, Global Comms & PR"
